url,university_code,university_name
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-hai-quan-HQH.html,HQH,Học Viện Hải Quân
https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-phong-hoa-HGH.html,HGH,Trường Sĩ Quan Phòng Hóa
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-hau-can-he-quan-su-HEH.html,HEH,Học Viện Hậu Cần
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-ha-noi-DCN.html,DCN,Đại Học Công Nghiệp Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phu-yen-DPY.html,DPY,Đại Học Phú Yên
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-xay-dung-mien-trung-XDT.html,XDT,Đại Học Xây Dựng Miền Trung
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-ha-noi-YHB.html,YHB,Đại Học Y Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-bac-UKB.html,UKB,Đại Học Kinh Bắc
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tan-trao-TQU.html,TQU,Đại học Tân Trào
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-sao-do-SDU.html,SDU,Đại học Sao Đỏ
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-khoa-vinh-YKV.html,YKV,Đại Học Y Khoa Vinh
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hoa-ha-noi-VHH.html,VHH,Đại Học Văn Hóa Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/khoa-giao-duc-the-chat-dai-hoc-hue-DHC.html,DHC,Khoa Giáo Dục Thể Chất – Đại Học Huế
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nghe-thuat-dai-hoc-hue-DHN.html,DHN,Đại Học Nghệ Thuật – Đại Học Huế
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-ngu-dai-hoc-hue-DHF.html,DHF,Đại Học Ngoại Ngữ – Đại Học Huế
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-vinh-TDV.html,TDV,Đại Học Vinh
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngan-hang-tphcm-NHS.html,NHS,Đại Học Ngân Hàng TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-hue-tai-quang-tri-DHQ.html,DHQ,Phân Hiệu Đại Học Huế tại Quảng Trị
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-luat-dai-hoc-hue-DHA.html,DHA,Đại học Luật
https://diemthi.tuyensinh247.com/diem-chuan/truong-du-lich-dai-hoc-hue-DHD.html,DHD,Trường Du Lịch – Đại Học Huế
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-dai-hoc-hue-DHK.html,DHK,Đại Học Kinh Tế – Đại Học Huế
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nong-lam-dai-hoc-hue-DHL.html,DHL,Đại Học Nông Lâm – Đại Học Huế
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-dai-hoc-hue-DHS.html,DHS,Đại Học Sư Phạm – Đại Học Huế
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-dai-hoc-hue-DHY.html,DHY,Đại Học Y Dược – Đại Học Huế
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-dai-hoc-hue-DHT.html,DHT,Đại Học Khoa Học – Đại Học Huế
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kiem-sat-ha-noi-DKS.html,DKS,Đại học Kiểm Sát Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ha-noi-2-SP2.html,SP2,Đại Học Sư Phạm Hà Nội 2
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-xay-dung-ha-noi-XDA.html,XDA,Đại Học Xây Dựng Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-nghe-thuat-trung-uong-GNT.html,GNT,Đại Học Sư Phạm Nghệ Thuật Trung Ương
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tay-nguyen-TTN.html,TTN,Đại Học Tây Nguyên
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ton-duc-thang-DTT.html,DTT,Đại Học Tôn Đức Thắng
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-tphcm-QSX.html,QSX,Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-tphcm-IUH.html,IUH,Đại Học Công Nghiệp TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tay-do-DTD.html,DTD,Đại Học Tây Đô
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-tai-chinh-HTC.html,HTC,Học Viện Tài Chính
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-the-duc-the-thao-bac-ninh-TDB.html,TDB,Đại Học Thể Dục Thể Thao Bắc Ninh
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ngan-hang-phan-vien-phu-yen-NHP.html,NHP,Học Viện Ngân Hàng (Phân Viện Phú Yên)
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ngoai-giao-HQT.html,HQT,Học Viện Ngoại Giao
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hoa-tphcm-VHS.html,VHS,Đại Học Văn Hóa TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thuong-mai-TMU.html,TMU,Đại Học Thương Mại
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ngan-hang-NHH.html,NHH,Học Viện Ngân Hàng
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-the-duc-the-thao-tphcm-TDS.html,TDS,Đại Học Thể Dục Thể Thao TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lam-nghiep-LNH.html,LNH,Đại Học Lâm nghiệp
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kien-truc-ha-noi-KTA.html,KTA,Đại Học Kiến Trúc Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-luat-dai-hoc-quoc-gia-tphcm-QSK.html,QSK,Đại học Kinh Tế Luật – Đại Học Quốc Gia TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-mo-tphcm-MBS.html,MBS,Đại Học Mở TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nguyen-trai-NTU.html,NTU,Đại Học Nguyễn Trãi
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-thuong-tphcm-DCT.html,DCT,Đại Học Công Thương TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nha-trang-TSN.html,TSN,Đại Học Nha Trang
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quang-binh-DQB.html,DQB,Đại Học Quảng Bình
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quy-nhon-DQN.html,DQN,Đại Học Quy Nhơn
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-chinh-ngan-hang-ha-noi-FBU.html,FBU,Đại Học Tài Chính Ngân Hàng Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-chinh-quan-tri-kinh-doanh-DFA.html,DFA,Đại học Tài chính Quản trị kinh doanh
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-det-may-ha-noi-CCM.html,CCM,Đại Học Công Nghiệp Dệt May Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-hai-phong-YPB.html,YPB,Đại Học Y Dược Hải Phòng
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ky-thuat-y-te-hai-duong-DKY.html,DKY,Đại Học Kỹ Thuật Y Tế Hải Dương
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lac-hong-DLH.html,DLH,Đại Học Lạc Hồng
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tay-bac-TTB.html,TTB,Đại Học Tây Bắc
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-mo-dia-chat-MDA.html,MDA,Đại Học Mỏ Địa Chất
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-cong-nghiep-long-an-DLA.html,DLA,Đại Học Kinh Tế Công Nghiệp Long An
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-my-thuat-cong-nghiep-MTC.html,MTC,Đại Học Mỹ Thuật Công Nghiệp
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-ngu-dai-hoc-quoc-gia-ha-noi-QHF.html,QHF,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-luat-dai-hoc-quoc-gia-ha-noi-QHL.html,QHL,Đại học Luật – Đại Học Quốc Gia Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lao-dong-xa-hoi-co-so-phia-nam-DLS.html,DLS,Đại Học Lao Động – Xã Hội (Cơ sở phía Nam)
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-tphcm-QST.html,QST,Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-hang-khong-viet-nam-HHK.html,HHK,Học Viện Hàng không Việt Nam
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dong-do-DDU.html,DDU,Đại Học Đông Đô
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-doanh-va-cong-nghe-ha-noi-DQK.html,DQK,Đại Học Kinh Doanh và Công Nghệ Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-chinh-marketing-DMS.html,DMS,Đại Học Tài Chính Marketing
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html,KHA,Đại Học Kinh Tế Quốc Dân
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-sai-gon-SGD.html,SGD,Đại Học Sài Gòn
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hai-phong-THP.html,THP,Đại Học Hải Phòng
https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-ki-thuat-quan-su-he-quan-su-dai-hoc-tran-dai-nghia-VPH.html,VPH,Trường Sĩ Quan Kĩ Thuật Quân Sự
